location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,pm10,79,µg/m³,12.920984,77.584908,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,no2,19.4,µg/m³,12.920984,77.584908,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Peenya, Bengaluru - CPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,no2,15.86,µg/m³,13.0270199,77.494094,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Peenya, Bengaluru - CPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,pm25,38.83,µg/m³,13.0270199,77.494094,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,o3,42.34,µg/m³,12.920984,77.584908,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,pm10,79,µg/m³,12.920984,77.584908,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,pm25,18,µg/m³,12.920984,77.584908,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Peenya, Bengaluru - CPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,co,870,µg/m³,13.0270199,77.494094,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,o3,27.44,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,co,420,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,no2,29,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,pm10,100,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,pm25,33,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,o3,20.78,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,co,0.46,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Peenya, Bengaluru - CPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,so2,3.25,µg/m³,13.0270199,77.494094,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Peenya, Bengaluru - CPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,no2,15.61,µg/m³,13.0270199,77.494094,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Peenya, Bengaluru - CPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,pm25,38.83,µg/m³,13.0270199,77.494094,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,no2,6.2,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:30:00.000Z,2019-05-03T06:00:00+05:30,pm10,83,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
