location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Hebbal, Bengaluru - KSPCB",Bengaluru,IN,2019-07-30T16:30:00.000Z,2019-07-30T22:00:00+05:30,co,820,µg/m³,13.029152,77.585901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,IN,2019-07-30T16:30:00.000Z,2019-07-30T22:00:00+05:30,co,350,µg/m³,12.990328,77.5431385,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,IN,2019-07-30T16:30:00.000Z,2019-07-30T22:00:00+05:30,co,660,µg/m³,12.9352049,77.6814488,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2019-07-30T16:30:00.000Z,2019-07-30T22:00:00+05:30,co,780,µg/m³,12.9135218,77.5950804,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"City Railway Station, Bengaluru - KSPCB",Bengaluru,IN,2019-07-30T16:30:00.000Z,2019-07-30T22:00:00+05:30,co,1890,µg/m³,12.9756843,77.5660749,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,IN,2019-07-30T16:15:00.000Z,2019-07-30T21:45:00+05:30,co,790,µg/m³,12.9352049,77.6814488,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hebbal, Bengaluru - KSPCB",Bengaluru,IN,2019-07-30T16:15:00.000Z,2019-07-30T21:45:00+05:30,co,800,µg/m³,13.029152,77.585901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"BTM Layout, Bengaluru - CPCB",Bengaluru,IN,2019-07-30T16:15:00.000Z,2019-07-30T21:45:00+05:30,co,820,µg/m³,12.9135218,77.5950804,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-07-30T16:15:00.000Z,2019-07-30T21:45:00+05:30,co,0.46,µg/m³,12.951913,77.539784,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,IN,2019-07-30T16:15:00.000Z,2019-07-30T21:45:00+05:30,co,290,µg/m³,12.990328,77.5431385,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"City Railway Station, Bengaluru - KSPCB",Bengaluru,IN,2019-07-30T16:15:00.000Z,2019-07-30T21:45:00+05:30,co,2270,µg/m³,12.9756843,77.5660749,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-07-30T16:15:00.000Z,2019-07-30T21:45:00+05:30,co,0.39,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-07-30T16:15:00.000Z,2019-07-30T21:45:00+05:30,co,1720,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
